"name","url","source"
"metaskills/experts","https://github.com/metaskills/experts","readme_recovered_agent"
"AgentDock/AgentDock","https://github.com/AgentDock/AgentDock","manual_checklist_x"
"evilsocket/nerve","https://github.com/evilsocket/nerve","readme_recovered_agent"
"ruc-datalab/DeepAnalyze","https://github.com/ruc-datalab/DeepAnalyze","readme_recovered_agent"
"vercel-labs/open-agents","https://github.com/vercel-labs/open-agents","manual_checklist_x"
"sigoden/aichat","https://github.com/sigoden/aichat","manual_checklist_x"
"Agent-12","redacted","manual_checklist_x"
"aingdesk/AingDesk","https://github.com/aingdesk/AingDesk","readme_recovered_agent"
"MLSysOps/MLE-agent","https://github.com/MLSysOps/MLE-agent","readme_recovered_agent"
"RLinf/RLinf","https://github.com/RLinf/RLinf","manual_checklist_x"
"tnm/zclaw","https://github.com/tnm/zclaw","readme_recovered_agent"
"Mininglamp-AI/Mano-P","https://github.com/Mininglamp-AI/Mano-P","manual_checklist_x"
"ZJU-REAL/ClawGUI","https://github.com/ZJU-REAL/ClawGUI","manual_checklist_x"
"StartupHakk/OpenMonoAgent.ai","https://github.com/StartupHakk/OpenMonoAgent.ai","manual_checklist_x"
"Lumiwealth/lumibot","https://github.com/Lumiwealth/lumibot","manual_checklist_x"
"abhigyanpatwari/GitNexus","https://github.com/abhigyanpatwari/GitNexus","manual_checklist_x"
"Natively-AI-assistant/natively-cluely-ai-assistant","https://github.com/Natively-AI-assistant/natively-cluely-ai-assistant","readme_recovered_agent"
"moltlaunch/cashclaw","https://github.com/moltlaunch/cashclaw","manual_checklist_x"
"pipeshub-ai/pipeshub-ai","https://github.com/pipeshub-ai/pipeshub-ai","manual_checklist_x"
"nixopus/nixopus","https://github.com/nixopus/nixopus","manual_checklist_x"
"triggerdotdev/trigger.dev","https://github.com/triggerdotdev/trigger.dev","manual_checklist_x"
"theJayTea/WritingTools","https://github.com/theJayTea/WritingTools","readme_recovered_agent"
"HKUDS/ViMax","https://github.com/HKUDS/ViMax","manual_checklist_x"
"ultraworkers/claw-code","https://github.com/ultraworkers/claw-code","manual_checklist_x"
"Agent-44","redacted","manual_checklist_x"
"athasdev/athas","https://github.com/athasdev/athas","manual_checklist_x"
"shiwenwen/hope-agent","https://github.com/shiwenwen/hope-agent","readme_recovered_agent"
"Agent-32","redacted","readme_recovered_agent"
"NVIDIA/NemoClaw","https://github.com/NVIDIA/NemoClaw","manual_checklist_x"
"golemcloud/golem","https://github.com/golemcloud/golem","manual_checklist_x"
"Kiln-AI/Kiln","https://github.com/Kiln-AI/Kiln","manual_checklist_x"
"LazyAGI/LazyLLM","https://github.com/LazyAGI/LazyLLM","manual_checklist_x"
"Forethought-Technologies/AutoChain","https://github.com/Forethought-Technologies/AutoChain","manual_checklist_x"
"julep-ai/julep","https://github.com/julep-ai/julep","manual_checklist_x"
"lessweb/deepcode-cli","https://github.com/lessweb/deepcode-cli","readme_recovered_agent"
"hyperspaceai/agi","https://github.com/hyperspaceai/agi","manual_checklist_x"
"microsoft/RD-Agent","https://github.com/microsoft/RD-Agent","manual_checklist_x"
"Agent-19","redacted","manual_checklist_x"
"nanobrowser/nanobrowser","https://github.com/nanobrowser/nanobrowser","manual_checklist_x"
"e2b-dev/e2b-cookbook","https://github.com/e2b-dev/e2b-cookbook","manual_checklist_x"
"Agent-49","redacted","readme_recovered_agent"
"Agent-16","redacted","manual_checklist_x"
"confident-ai/deepteam","https://github.com/confident-ai/deepteam","manual_checklist_x"
"wong2/weixin-agent-sdk","https://github.com/wong2/weixin-agent-sdk","manual_checklist_x"
"AgentsMesh/AgentsMesh","https://github.com/AgentsMesh/AgentsMesh","manual_checklist_x"
"afx-team/petercat","https://github.com/afx-team/petercat","manual_checklist_x"
"Agent-45","redacted","manual_checklist_x"
"vercel-labs/deepsec","https://github.com/vercel-labs/deepsec","uncertain_audit_yes"
"google/adk-java","https://github.com/google/adk-java","manual_checklist_x"
"OpenBMB/AgentCPM-GUI","https://github.com/OpenBMB/AgentCPM-GUI","manual_checklist_x"
"vercel/eve","https://github.com/vercel/eve","manual_checklist_x"
"nickscamara/open-deep-research","https://github.com/nickscamara/open-deep-research","manual_checklist_x"
"Link-AGI/AutoAgents","https://github.com/Link-AGI/AutoAgents","manual_checklist_x"
"noahshinn/reflexion","https://github.com/noahshinn/reflexion","uncertain_audit_boundary_yes"
"phodal/routa","https://github.com/phodal/routa","manual_checklist_x"
"bytedance/UI-TARS-desktop","https://github.com/bytedance/UI-TARS-desktop","manual_checklist_x"
"openai/openai-agents-js","https://github.com/openai/openai-agents-js","manual_checklist_x"
"jihe520/MathModelAgent","https://github.com/jihe520/MathModelAgent","readme_recovered_agent"
"poco-ai/poco-claw","https://github.com/poco-ai/poco-claw","readme_recovered_agent"
"bcurts/agentchattr","https://github.com/bcurts/agentchattr","manual_checklist_x"
