category,agent,url,disclosure_status
coding_agent,Agent-01,redacted,disclosed
coding_agent,Agent-02,redacted,disclosed
coding_agent,Agent-03,redacted,disclosed
coding_agent,Agent-04,redacted,in_communication
coding_agent,Agent-05,redacted,disclosed
coding_agent,Agent-06,redacted,disclosed
coding_agent,Agent-07,redacted,disclosed
coding_agent,Agent-08,redacted,disclosed
coding_agent,Agent-09,redacted,disclosed
coding_agent,Agent-10,redacted,disclosed
agent_framework,Agent-11,redacted,disclosed
agent_framework,Agent-12,redacted,disclosed
agent_framework,Agent-13,redacted,disclosed
agent_framework,Agent-14,redacted,disclosed
agent_framework,Agent-15,redacted,disclosed
agent_framework,Agent-16,redacted,disclosed
agent_framework,Agent-17,redacted,disclosed
agent_framework,Agent-18,redacted,in_communication
agent_framework,Agent-19,redacted,disclosed
agent_framework,Agent-20,redacted,in_communication
personal_assistant,Agent-21,redacted,fixed
personal_assistant,Agent-22,redacted,disclosed
personal_assistant,Agent-23,redacted,disclosed
personal_assistant,Agent-24,redacted,disclosed
personal_assistant,Agent-25,redacted,disclosed
personal_assistant,Agent-26,redacted,disclosed
personal_assistant,Agent-27,redacted,disclosed
personal_assistant,Agent-28,redacted,disclosed
personal_assistant,Agent-29,redacted,no_vuln_defended
personal_assistant,Agent-30,redacted,disclosed
data_access_agent,Agent-31,redacted,disclosed
data_access_agent,Agent-32,redacted,archived_vulnerable
data_access_agent,Agent-33,redacted,disclosed
data_access_agent,Agent-34,redacted,closed_rejected
data_access_agent,Agent-35,redacted,disclosed
data_access_agent,Agent-36,redacted,disclosed
data_access_agent,Agent-37,redacted,disclosed
data_access_agent,Agent-38,redacted,disclosed
data_access_agent,Agent-39,redacted,disclosed
data_access_agent,Agent-40,redacted,invalid
domain_specific,Agent-41,redacted,in_communication
domain_specific,Agent-42,redacted,disclosed
domain_specific,Agent-43,redacted,disclosed
domain_specific,Agent-44,redacted,disclosed
domain_specific,Agent-45,redacted,disclosed
domain_specific,Agent-46,redacted,disclosed
domain_specific,Agent-47,redacted,disclosed
domain_specific,Agent-48,redacted,disclosed
domain_specific,Agent-49,redacted,disclosed
domain_specific,Agent-50,redacted,pending
